GEO_ID,NAME,NumHouseholds,Broadband
0500000US37001,"Alamance County, North Carolina",65455,53177
0500000US37003,"Alexander County, North Carolina",14049,11091
0500000US37005,"Alleghany County, North Carolina",5001,3884
0500000US37007,"Anson County, North Carolina",9803,7737
0500000US37009,"Ashe County, North Carolina",11885,8973
0500000US37011,"Avery County, North Carolina",6569,4940
0500000US37013,"Beaufort County, North Carolina",20219,14964
0500000US37015,"Bertie County, North Carolina",8008,4898
0500000US37017,"Bladen County, North Carolina",13394,10334
0500000US37019,"Brunswick County, North Carolina",59416,52355
0500000US37021,"Buncombe County, North Carolina",105177,86207
0500000US37023,"Burke County, North Carolina",35664,26850
0500000US37025,"Cabarrus County, North Carolina",72843,64618
0500000US37027,"Caldwell County, North Carolina",32798,26543
0500000US37029,"Camden County, North Carolina",3912,3517
0500000US37031,"Carteret County, North Carolina",30060,26256
0500000US37033,"Caswell County, North Carolina",8993,6230
0500000US37035,"Catawba County, North Carolina",62940,52627
0500000US37037,"Chatham County, North Carolina",29904,24166
0500000US37039,"Cherokee County, North Carolina",12546,9491
0500000US37041,"Chowan County, North Carolina",6389,4595
0500000US37043,"Clay County, North Carolina",5300,3998
0500000US37045,"Cleveland County, North Carolina",36089,25379
0500000US37047,"Columbus County, North Carolina",21545,15377
0500000US37049,"Craven County, North Carolina",41002,33370
0500000US37051,"Cumberland County, North Carolina",127532,109278
0500000US37053,"Currituck County, North Carolina",10868,9155
0500000US37055,"Dare County, North Carolina",15830,14652
0500000US37057,"Davidson County, North Carolina",67555,55768
0500000US37059,"Davie County, North Carolina",16303,14261
0500000US37061,"Duplin County, North Carolina",21437,15260
0500000US37063,"Durham County, North Carolina",130128,115247
0500000US37065,"Edgecombe County, North Carolina",20800,13844
0500000US37067,"Forsyth County, North Carolina",148890,125066
0500000US37069,"Franklin County, North Carolina",25729,21062
0500000US37071,"Gaston County, North Carolina",85286,70975
0500000US37073,"Gates County, North Carolina",4690,3469
0500000US37075,"Graham County, North Carolina",3521,2428
0500000US37077,"Granville County, North Carolina",21567,18073
0500000US37079,"Greene County, North Carolina",7218,5385
0500000US37081,"Guilford County, North Carolina",208234,169880
0500000US37083,"Halifax County, North Carolina",21061,12244
0500000US37085,"Harnett County, North Carolina",46525,37681
0500000US37087,"Haywood County, North Carolina",26891,19717
0500000US37089,"Henderson County, North Carolina",49715,42180
0500000US37091,"Hertford County, North Carolina",8903,6288
0500000US37093,"Hoke County, North Carolina",18448,15343
0500000US37095,"Hyde County, North Carolina",2056,1347
0500000US37097,"Iredell County, North Carolina",68374,59585
0500000US37099,"Jackson County, North Carolina",17008,12364
0500000US37101,"Johnston County, North Carolina",71332,57434
0500000US37103,"Jones County, North Carolina",4069,2629
0500000US37105,"Lee County, North Carolina",22290,16698
0500000US37107,"Lenoir County, North Carolina",23494,18003
0500000US37109,"Lincoln County, North Carolina",33621,28486
0500000US37111,"McDowell County, North Carolina",18275,14025
0500000US37113,"Macon County, North Carolina",16062,12095
0500000US37115,"Madison County, North Carolina",8373,6060
0500000US37117,"Martin County, North Carolina",9622,6934
0500000US37119,"Mecklenburg County, North Carolina",421950,380319
0500000US37121,"Mitchell County, North Carolina",6402,4871
0500000US37123,"Montgomery County, North Carolina",10265,7296
0500000US37125,"Moore County, North Carolina",40575,34264
0500000US37127,"Nash County, North Carolina",37371,29686
0500000US37129,"New Hanover County, North Carolina",97998,85767
0500000US37131,"Northampton County, North Carolina",8424,4601
0500000US37133,"Onslow County, North Carolina",66131,59333
0500000US37135,"Orange County, North Carolina",53222,47616
0500000US37137,"Pamlico County, North Carolina",5506,4297
0500000US37139,"Pasquotank County, North Carolina",14785,12094
0500000US37141,"Pender County, North Carolina",22812,18723
0500000US37143,"Perquimans County, North Carolina",5886,4582
0500000US37145,"Person County, North Carolina",16153,13016
0500000US37147,"Pitt County, North Carolina",70683,59244
0500000US37149,"Polk County, North Carolina",9252,7311
0500000US37151,"Randolph County, North Carolina",56790,45730
0500000US37153,"Richmond County, North Carolina",18201,13966
0500000US37155,"Robeson County, North Carolina",45881,28886
0500000US37157,"Rockingham County, North Carolina",38532,27811
0500000US37159,"Rowan County, North Carolina",54137,45136
0500000US37161,"Rutherford County, North Carolina",27525,20531
0500000US37163,"Sampson County, North Carolina",23162,16749
0500000US37165,"Scotland County, North Carolina",12951,8759
0500000US37167,"Stanly County, North Carolina",23849,19641
0500000US37169,"Stokes County, North Carolina",19608,14475
0500000US37171,"Surry County, North Carolina",29001,19930
0500000US37173,"Swain County, North Carolina",5741,3821
0500000US37175,"Transylvania County, North Carolina",14648,12285
0500000US37177,"Tyrrell County, North Carolina",1652,1094
0500000US37179,"Union County, North Carolina",77791,71317
0500000US37181,"Vance County, North Carolina",16895,12580
0500000US37183,"Wake County, North Carolina",410552,382287
0500000US37185,"Warren County, North Carolina",8122,5283
0500000US37187,"Washington County, North Carolina",5237,3438
0500000US37189,"Watauga County, North Carolina",21453,18109
0500000US37191,"Wayne County, North Carolina",48198,40329
0500000US37193,"Wilkes County, North Carolina",28902,22996
0500000US37195,"Wilson County, North Carolina",31968,24419
0500000US37197,"Yadkin County, North Carolina",15247,11531
0500000US37199,"Yancey County, North Carolina",7466,5647
