Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Annotation of Margin of Error!!Total:,Annotation of Estimate!!Total:,Estimate!!Total:!!With an Internet subscription,Margin of Error!!Total:!!With an Internet subscription,Annotation of Margin of Error!!Total:!!With an Internet subscription,Annotation of Estimate!!Total:!!With an Internet subscription,Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription,Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription,Annotation of Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription,Estimate!!Total:!!With an Internet subscription!!Broadband of any type,Annotation of Estimate!!Total:!!With an Internet subscription!!Broadband of any type,Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type,Estimate!!Total:!!With an Internet subscription!!Cellular data plan,Annotation of Estimate!!Total:!!With an Internet subscription!!Cellular data plan,Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan,Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,Annotation of Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,"Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Annotation of Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Annotation of Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Annotation of Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Annotation of Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription",Estimate!!Total:!!With an Internet subscription!!Satellite Internet service,Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service,Annotation of Estimate!!Total:!!With an Internet subscription!!Satellite Internet service,Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription,Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription,Annotation of Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription,Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription,Annotation of Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription,Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription,Estimate!!Total:!!Internet access without a subscription,Annotation of Estimate!!Total:!!Internet access without a subscription,Margin of Error!!Total:!!Internet access without a subscription,Annotation of Margin of Error!!Total:!!Internet access without a subscription,Estimate!!Total:!!No Internet access,Annotation of Estimate!!Total:!!No Internet access,Margin of Error!!Total:!!No Internet access,Annotation of Margin of Error!!Total:!!No Internet access
0500000US37001,"Alamance County, North Carolina",65455,668,null,null,53300,856,null,null,123,63,null,null,53177,null,863,null,45884,null,944,null,6625,618,null,null,44552,833,null,null,6696,631,null,null,4462,542,null,null,325,91,null,null,25,null,20,null,1564,null,311,null,10591,null,680,null
0500000US37003,"Alexander County, North Carolina",14049,392,null,null,11107,510,null,null,16,25,null,null,11091,null,509,null,9961,null,554,null,1699,312,null,null,8504,562,null,null,930,225,null,null,1163,207,null,null,146,66,null,null,12,null,19,null,275,null,113,null,2667,null,357,null
0500000US37005,"Alleghany County, North Carolina",5001,324,null,null,3914,300,null,null,30,30,null,null,3884,null,301,null,2496,null,282,null,581,139,null,null,3190,304,null,null,1346,214,null,null,192,78,null,null,35,34,null,null,0,null,21,null,43,null,26,null,1044,null,200,null
0500000US37007,"Anson County, North Carolina",9803,301,null,null,7788,388,null,null,51,64,null,null,7737,null,387,null,6736,null,392,null,1260,240,null,null,5834,419,null,null,802,206,null,null,803,196,null,null,131,84,null,null,0,null,25,null,134,null,90,null,1881,null,344,null
0500000US37009,"Ashe County, North Carolina",11885,450,null,null,9073,499,null,null,100,59,null,null,8973,null,507,null,5696,null,438,null,696,177,null,null,8076,542,null,null,3113,418,null,null,558,165,null,null,72,50,null,null,0,null,25,null,334,null,146,null,2478,null,305,null
0500000US37011,"Avery County, North Carolina",6569,479,null,null,4996,414,null,null,56,55,null,null,4940,null,415,null,4175,null,388,null,639,167,null,null,3794,372,null,null,633,135,null,null,544,153,null,null,97,47,null,null,0,null,21,null,228,null,99,null,1345,null,233,null
0500000US37013,"Beaufort County, North Carolina",20219,496,null,null,15013,579,null,null,49,43,null,null,14964,null,586,null,11267,null,561,null,1539,302,null,null,12412,557,null,null,3235,419,null,null,1128,222,null,null,247,100,null,null,51,null,44,null,464,null,146,null,4742,null,453,null
0500000US37015,"Bertie County, North Carolina",8008,455,null,null,4968,418,null,null,70,83,null,null,4898,null,422,null,3976,null,399,null,899,247,null,null,3335,384,null,null,670,195,null,null,919,209,null,null,211,106,null,null,0,null,21,null,239,null,115,null,2801,null,394,null
0500000US37017,"Bladen County, North Carolina",13394,451,null,null,10382,469,null,null,48,42,null,null,10334,null,473,null,8246,null,522,null,2148,375,null,null,7540,428,null,null,1962,314,null,null,848,215,null,null,69,67,null,null,10,null,17,null,211,null,138,null,2801,null,438,null
0500000US37019,"Brunswick County, North Carolina",59416,977,null,null,52528,1157,null,null,173,75,null,null,52355,null,1160,null,45134,null,1017,null,6695,604,null,null,44091,1161,null,null,6627,727,null,null,2466,358,null,null,258,144,null,null,52,null,29,null,1397,null,344,null,5491,null,533,null
0500000US37021,"Buncombe County, North Carolina",105177,1242,null,null,86486,1572,null,null,279,100,null,null,86207,null,1569,null,75044,null,1632,null,12847,1018,null,null,70209,1573,null,null,9979,654,null,null,4584,417,null,null,761,217,null,null,96,null,70,null,3329,null,563,null,15362,null,1044,null
0500000US37023,"Burke County, North Carolina",35664,581,null,null,26956,826,null,null,106,59,null,null,26850,null,822,null,22564,null,792,null,3991,433,null,null,21277,824,null,null,3580,438,null,null,2417,383,null,null,307,125,null,null,23,null,32,null,780,null,248,null,7928,null,630,null
0500000US37025,"Cabarrus County, North Carolina",72843,704,null,null,64878,1137,null,null,260,137,null,null,64618,null,1145,null,55275,null,1458,null,5721,551,null,null,56105,1279,null,null,7453,855,null,null,4959,646,null,null,1247,413,null,null,80,null,61,null,1548,null,465,null,6417,null,709,null
0500000US37027,"Caldwell County, North Carolina",32798,573,null,null,26597,731,null,null,54,34,null,null,26543,null,736,null,22509,null,801,null,4730,565,null,null,20350,773,null,null,3431,452,null,null,1916,265,null,null,424,193,null,null,24,null,25,null,537,null,161,null,5664,null,552,null
