FIPS,GEO_ID,NAME,NumHouseholds,Broadband,EP_POV150,RUCC_2013,Description,Metro_Nonmetro,prop_broadband,State,County_Name
37001,0500000US37001,"Alamance County, North Carolina",65455,53177,26.1,3,"Metro - Counties in metro areas of fewer than 250,000 population",Urban,0.812420747,NC,Alamance County
37003,0500000US37003,"Alexander County, North Carolina",14049,11091,23,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.789451206,NC,Alexander County
37005,0500000US37005,"Alleghany County, North Carolina",5001,3884,36,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Rural,0.776644671,NC,Alleghany County
37007,0500000US37007,"Anson County, North Carolina",9803,7737,32.6,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.789248189,NC,Anson County
37009,0500000US37009,"Ashe County, North Carolina",11885,8973,24.2,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Rural,0.754985276,NC,Ashe County
37011,0500000US37011,"Avery County, North Carolina",6569,4940,25.3,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Rural,0.75201705,NC,Avery County
37013,0500000US37013,"Beaufort County, North Carolina",20219,14964,29,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.740095949,NC,Beaufort County
37015,0500000US37015,"Bertie County, North Carolina",8008,4898,37.9,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Rural,0.611638362,NC,Bertie County
37017,0500000US37017,"Bladen County, North Carolina",13394,10334,37.1,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.771539495,NC,Bladen County
37019,0500000US37019,"Brunswick County, North Carolina",59416,52355,18.2,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.881159957,NC,Brunswick County
37021,0500000US37021,"Buncombe County, North Carolina",105177,86207,22.3,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.819637373,NC,Buncombe County
37023,0500000US37023,"Burke County, North Carolina",35664,26850,30,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.752860027,NC,Burke County
37025,0500000US37025,"Cabarrus County, North Carolina",72843,64618,17.4,1,Metro - Counties in metro areas of 1 million population or more,Urban,0.887085925,NC,Cabarrus County
37027,0500000US37027,"Caldwell County, North Carolina",32798,26543,27.3,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.809287152,NC,Caldwell County
37029,0500000US37029,"Camden County, North Carolina",3912,3517,16.7,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Rural,0.89902863,NC,Camden County
37031,0500000US37031,"Carteret County, North Carolina",30060,26256,17.5,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.873453094,NC,Carteret County
37033,0500000US37033,"Caswell County, North Carolina",8993,6230,24.6,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Rural,0.692761036,NC,Caswell County
37035,0500000US37035,"Catawba County, North Carolina",62940,52627,21.7,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.836145535,NC,Catawba County
37037,0500000US37037,"Chatham County, North Carolina",29904,24166,19.8,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.808119315,NC,Chatham County
37039,0500000US37039,"Cherokee County, North Carolina",12546,9491,30.5,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Rural,0.756496094,NC,Cherokee County
37041,0500000US37041,"Chowan County, North Carolina",6389,4595,29.3,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.719204883,NC,Chowan County
37043,0500000US37043,"Clay County, North Carolina",5300,3998,25.3,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Rural,0.754339623,NC,Clay County
37045,0500000US37045,"Cleveland County, North Carolina",36089,25379,31.5,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.703233672,NC,Cleveland County
37047,0500000US37047,"Columbus County, North Carolina",21545,15377,35.6,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.713715479,NC,Columbus County
37049,0500000US37049,"Craven County, North Carolina",41002,33370,24.1,3,"Metro - Counties in metro areas of fewer than 250,000 population",Urban,0.813862738,NC,Craven County
37051,0500000US37051,"Cumberland County, North Carolina",127532,109278,29.8,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.856867296,NC,Cumberland County
37053,0500000US37053,"Currituck County, North Carolina",10868,9155,14.3,1,Metro - Counties in metro areas of 1 million population or more,Urban,0.842381303,NC,Currituck County
37055,0500000US37055,"Dare County, North Carolina",15830,14652,16.2,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.925584334,NC,Dare County
37057,0500000US37057,"Davidson County, North Carolina",67555,55768,25.9,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.825519947,NC,Davidson County
37059,0500000US37059,"Davie County, North Carolina",16303,14261,20.2,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.874746979,NC,Davie County
37061,0500000US37061,"Duplin County, North Carolina",21437,15260,32.7,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.711853338,NC,Duplin County
37063,0500000US37063,"Durham County, North Carolina",130128,115247,21.7,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.885643367,NC,Durham County
37065,0500000US37065,"Edgecombe County, North Carolina",20800,13844,35.5,3,"Metro - Counties in metro areas of fewer than 250,000 population",Urban,0.665576923,NC,Edgecombe County
37067,0500000US37067,"Forsyth County, North Carolina",148890,125066,25.5,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.839989254,NC,Forsyth County
37069,0500000US37069,"Franklin County, North Carolina",25729,21062,23,1,Metro - Counties in metro areas of 1 million population or more,Urban,0.818609351,NC,Franklin County
37071,0500000US37071,"Gaston County, North Carolina",85286,70975,24.2,1,Metro - Counties in metro areas of 1 million population or more,Urban,0.832199892,NC,Gaston County
37073,0500000US37073,"Gates County, North Carolina",4690,3469,23.6,1,Metro - Counties in metro areas of 1 million population or more,Urban,0.739658849,NC,Gates County
37075,0500000US37075,"Graham County, North Carolina",3521,2428,23,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Rural,0.689576825,NC,Graham County
37077,0500000US37077,"Granville County, North Carolina",21567,18073,23.9,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.83799323,NC,Granville County
37079,0500000US37079,"Greene County, North Carolina",7218,5385,32.6,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Rural,0.746051538,NC,Greene County
37081,0500000US37081,"Guilford County, North Carolina",208234,169880,24.7,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.81581298,NC,Guilford County
37083,0500000US37083,"Halifax County, North Carolina",21061,12244,40.5,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.58135891,NC,Halifax County
37085,0500000US37085,"Harnett County, North Carolina",46525,37681,26.3,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.809908651,NC,Harnett County
37087,0500000US37087,"Haywood County, North Carolina",26891,19717,22.6,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.733219293,NC,Haywood County
37089,0500000US37089,"Henderson County, North Carolina",49715,42180,19.1,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.848436086,NC,Henderson County
37091,0500000US37091,"Hertford County, North Carolina",8903,6288,35.5,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.706278782,NC,Hertford County
